# 2025年1月から2027年3月までの鶏卵価格予測結果 (SARIMA)

Date,SARIMA_Forecast,Lower_CI,Upper_CI
143,192.63770166352435,163.87978287512158,221.39562045192713
144,221.3161555467239,182.9488251342625,259.6834859591853
145,215.66698004558216,171.21976935928421,260.1141907318801
146,215.64669731254767,166.95639658228293,264.3369980428124
147,205.38173192020457,153.59124533828046,257.1722185021287
148,195.0997246177335,140.97992889559455,249.21952033987245
149,186.7783018174032,130.87370570226932,242.68289793253706
150,188.53283888616176,131.23962585748635,245.82605191483717
151,214.21067314274475,155.82308232542212,272.59826396006736
152,221.72150011605177,162.4613520847866,280.98164814731695
153,235.98805834483247,176.0244724301578,295.95164425950713
154,251.22475630760815,190.68778056671522,311.7617320485011
155,196.55631858780703,135.2639701765112,257.8486669991029
156,224.11089209328554,162.19981332133702,286.0219708652341
157,218.43520967107048,156.04235725715805,280.8280620849829
158,217.93649604450638,155.14777889248592,280.72521319652685
159,206.87572605589654,143.75911012052921,269.99234199126386
160,197.7363132267605,134.34583667381014,261.12678977971086
161,189.65742688693874,126.03621327973778,253.2786404941397
162,191.74189197435362,127.92443035850431,255.55935359020293
163,219.57413489510594,155.58801713321276,283.5602526569991
164,227.52013694475318,163.38738927772556,291.6528846117808
165,240.23308049331013,175.97118928764334,304.4949716989769
166,254.3225112093264,189.9452167844826,318.69980563417016
167,199.70185447253024,134.56152427375804,264.84218467130245
168,227.5440430734833,161.7721113278722,293.3159748190944
169,221.9830064803356,155.7202926906969,288.2457202699743

# モデル評価指標と説明
Metric,Value,Explanation
MSE,59.20,平均二乗誤差：予測誤差の二乗の平均。値が小さいほど良い。
RMSE,7.69,平方根平均二乗誤差：MSEの平方根。元のデータと同じ単位で誤差を表す。
MAE,6.57,平均絶対誤差：予測誤差の絶対値の平均。
R-squared,0.85,決定係数：モデルの当てはまりの良さを0から1の間で表す。1に近いほど良い。
Confidence Interval,95%,予測値が95%の確率でこの区間内に収まると予想される範囲。
