# 2025年の鶏卵価格予測結果

Date,ES_Forecast,Lower_CI,Upper_CI
2025-01-01,196.24144936697527,169.55618556070218,222.92671317324837
2025-02-01,226.3870605166364,199.7017967103633,253.0723243229095
2025-03-01,225.05011481833995,198.36485101206685,251.73537862461305
2025-04-01,223.4739728116752,196.7887090054021,250.1592366179483
2025-05-01,216.71524502186588,190.02998121559278,243.40050882813898
2025-06-01,206.55030031541227,179.86503650913917,233.23556412168537
2025-07-01,194.9678743813453,168.2826105750722,221.6531381876184
2025-08-01,195.38081212770612,168.69554832143302,222.06607593397922
2025-09-01,221.219197814931,194.5339340086579,247.9044616212041
2025-10-01,230.1352651995524,203.4500013932793,256.8205290058255
2025-11-01,241.3034646203652,214.6182008140921,267.9887284266383
2025-12-01,255.30649051427804,228.62122670800494,281.99175432055114

# モデル評価指標と説明
Metric,Value,Explanation
MSE,70.92,平均二乗誤差：予測誤差の二乗の平均。値が小さいほど良い。
RMSE,8.42,平方根平均二乗誤差：MSEの平方根。元のデータと同じ単位で誤差を表す。
MAE,7.15,平均絶対誤差：予測誤差の絶対値の平均。
R-squared,0.82,決定係数：モデルの当てはまりの良さを0から1の間で表す。1に近いほど良い。
Confidence Interval,95%,予測値が95%の確率でこの区間内に収まると予想される範囲。
